cameo_root,cameo_label,commodity,lag_days,pearson_r,pearson_p,spearman_r,spearman_p
14,Protest,GC=F,10,-0.006030671326431711,0.7874671386504637,-0.015034719172436239,0.5014825470954314
14,Protest,GC=F,20,0.021401450757671758,0.339731641694664,0.01916928819268647,0.3924947397630315
14,Protest,ZW=F,0,0.011049675748769628,0.6234185509017782,-0.0013410662424716102,0.9524815692747255
14,Protest,ZW=F,1,-0.007545824508883905,0.7373941898210057,-0.03454274745631408,0.12469121267131981
14,Protest,ZW=F,5,-0.0008144166324170268,0.9711317433539745,0.0008069337897263302,0.9713968701893209
14,Protest,ZW=F,10,-0.01222915893858348,0.5868356744258377,-0.017498667280818787,0.43679372269366257
14,Protest,ZW=F,20,0.002385407643764219,0.9157769642681001,0.006223640299629582,0.7826085168354256
15,Exhibit Military Posture,CL=F,0,-0.00367597017782166,0.8720190022726638,-0.009969023394167751,0.6621922443203767
15,Exhibit Military Posture,CL=F,1,-0.0033774224517129922,0.8823341422839711,-0.007761596785459178,0.7337469276977223
15,Exhibit Military Posture,CL=F,5,0.05305469805314413,0.019982206345280463,0.029242468622892072,0.19991922550203103
15,Exhibit Military Posture,CL=F,10,0.045192322260067336,0.04753538857762644,0.027580964723864114,0.2266917888682673
15,Exhibit Military Posture,CL=F,20,0.009046427612748804,0.6924560007450808,0.009764568416878165,0.669434688112327
15,Exhibit Military Posture,GC=F,0,0.009050328535518582,0.6857719398904953,0.022226526817936552,0.32034437548348804
15,Exhibit Military Posture,GC=F,1,0.02890407904861791,0.19621349338093522,0.041635606574444525,0.06258758328992355
15,Exhibit Military Posture,GC=F,5,0.01712214684819874,0.4439770758803236,0.01592081196616783,0.47660199392731195
15,Exhibit Military Posture,GC=F,10,0.02673214715891502,0.23198422185371145,0.020146982558310697,0.3677191594157436
15,Exhibit Military Posture,GC=F,20,0.02600975428924408,0.24591427703800142,0.03819242097762781,0.08835319688232092
15,Exhibit Military Posture,ZW=F,0,-0.009038485966966605,0.6879515902809248,-0.013137923371281956,0.5593458762828676
15,Exhibit Military Posture,ZW=F,1,-0.029903518096365597,0.18382474020961878,-0.022473362855208477,0.31792172214841696
15,Exhibit Military Posture,ZW=F,5,-0.018389604778732464,0.4138041031643441,-0.02921309477531153,0.1941598474058998
15,Exhibit Military Posture,ZW=F,10,-0.008973358648310005,0.6900830722383914,-0.014731778892927948,0.5126949082682538
15,Exhibit Military Posture,ZW=F,20,-0.03383153463445205,0.1335327246014989,-0.027728774232534142,0.21886086910494537
16,Reduce Relations,CL=F,0,-0.015556631540724656,0.49537335557616585,-0.012436485493662459,0.5857318339156599
16,Reduce Relations,CL=F,1,0.005892118524155018,0.796240550848798,-0.002620488987575459,0.9085725587715767
16,Reduce Relations,CL=F,5,0.012028592151275407,0.5980865086744607,0.011482673753493646,0.6148042184898828
16,Reduce Relations,CL=F,10,-0.06042907268527806,0.008034023250878151,-0.05014847416090878,0.02787324062706173
16,Reduce Relations,CL=F,20,-0.007122393235167879,0.7555584745529557,0.004230553062664521,0.8532955464275809
16,Reduce Relations,GC=F,0,-0.004530126620589383,0.8395114152190204,-0.018003562411353098,0.420873321537341
16,Reduce Relations,GC=F,1,-0.05067720363943552,0.02339266442744917,-0.06602100825187593,0.0031300791788961392
16,Reduce Relations,GC=F,5,0.03536241323822789,0.11379651627914483,0.02269552861781978,0.3102369729801225
16,Reduce Relations,GC=F,10,-0.020684625854350193,0.35507172807789117,-0.018101830709808118,0.41834193642349815
16,Reduce Relations,GC=F,20,0.03158615690752423,0.15887644846539842,0.02954206777869791,0.18762244227721675
16,Reduce Relations,ZW=F,0,-0.010714430355092262,0.633993807454715,0.011592001625239975,0.606474813195204
16,Reduce Relations,ZW=F,1,0.015932407102079223,0.47894092675216,-0.003955497522490045,0.860478887605027
16,Reduce Relations,ZW=F,5,0.013959197286638587,0.5350523981972246,-0.0032423312226160894,0.8854416472629338
16,Reduce Relations,ZW=F,10,-0.03389283099171826,0.13194592157517154,-0.04118217644558872,0.06714220737185847
16,Reduce Relations,ZW=F,20,-0.005277998963028954,0.8150341254693428,-0.02523076353821457,0.26336497605854126
17,Coerce,CL=F,0,-0.026412283413084284,0.24699426932812693,-0.028036092721106628,0.21911622013262105
17,Coerce,CL=F,1,0.014576523131463272,0.5229346028798423,-0.0026154483914375363,0.9087476535183064
17,Coerce,CL=F,5,-0.030676002711153113,0.17873940028780416,-0.0023989457591285187,0.916272356512558
17,Coerce,CL=F,10,-0.028581304696926726,0.2102824971207319,-0.020751108292979728,0.3630945230468595
17,Coerce,CL=F,20,0.018708500556821415,0.4134677284736255,0.024779218360908267,0.2786984472846972
17,Coerce,GC=F,0,-0.002052383031264313,0.926895851020733,-0.012242434481651195,0.5841633833094884
