cameo_root,cameo_label,commodity,lag,direction,f_stat,p_value_raw,sparse_skipped,q_value_fdr,significant
15,Exhibit Military Posture,GC=F,5,cameo→vol,0.6033070381423672,0.6974384478284336,False,0.9544039226850053,False
15,Exhibit Military Posture,GC=F,10,cameo→vol,0.7991660646070741,0.6296501709100644,False,0.9544039226850053,False
17,Coerce,CL=F,1,cameo→vol,0.2887503682753027,0.5910847400178441,False,0.9544039226850053,False
17,Coerce,CL=F,5,cameo→vol,0.7066816082721975,0.6184132691675537,False,0.9544039226850053,False
17,Coerce,GC=F,1,cameo→vol,0.22321797262138215,0.6366504738742821,False,0.9544039226850053,False
17,Coerce,ZW=F,1,cameo→vol,0.1856153947002698,0.6666382815015444,False,0.9544039226850053,False
17,Coerce,ZW=F,10,cameo→vol,0.6332526479774461,0.7863563195652268,False,0.9544039226850053,False
18,Assault,CL=F,1,cameo→vol,0.07068833585460355,0.79036574847352,False,0.9544039226850053,False
18,Assault,CL=F,10,cameo→vol,0.6835756078784204,0.7406590221917831,False,0.9544039226850053,False
18,Assault,CL=F,20,cameo→vol,0.7905287014408734,0.7277389833675568,False,0.9544039226850053,False
18,Assault,GC=F,5,cameo→vol,0.6469738439193606,0.663856371033368,False,0.9544039226850053,False
18,Assault,GC=F,10,cameo→vol,0.6338500965705394,0.785832031969351,False,0.9544039226850053,False
18,Assault,GC=F,20,cameo→vol,0.8478243297826186,0.6555043833524259,False,0.9544039226850053,False
18,Assault,ZW=F,20,cameo→vol,0.8577199626375746,0.6426820063611853,False,0.9544039226850053,False
19,Fight,GC=F,5,cameo→vol,0.738655726012821,0.594460500733297,False,0.9544039226850053,False
19,Fight,ZW=F,1,cameo→vol,0.08334066195113393,0.772850604603565,False,0.9544039226850053,False
20,Use Unconventional Mass Violence,ZW=F,20,cameo→vol,0.7885281552113975,0.7301957302666673,False,0.9544039226850053,False
03,Agree,ZW=F,1,cameo→vol,0.04359581650474912,0.8346289596407811,False,0.9592284358296204,False
04,Consult,GC=F,1,cameo→vol,0.03857106122417579,0.8443208627875304,False,0.9592284358296204,False
07,Provide Aid,CL=F,1,cameo→vol,0.05141182569350529,0.8206487029034846,False,0.9592284358296204,False
08,Yield / Concede,CL=F,1,cameo→vol,0.0645612178164669,0.7994540260281071,False,0.9592284358296204,False
08,Yield / Concede,ZW=F,10,cameo→vol,0.5684606973271275,0.8407613338055088,False,0.9592284358296204,False
16,Reduce Relations,CL=F,1,cameo→vol,0.05759947024928157,0.8103567451329502,False,0.9592284358296204,False
16,Reduce Relations,CL=F,5,cameo→vol,0.4217591651114699,0.8338256986565393,False,0.9592284358296204,False
16,Reduce Relations,ZW=F,5,cameo→vol,0.4094331216848579,0.8425115310575806,False,0.9592284358296204,False
17,Coerce,GC=F,5,cameo→vol,0.46091112919138444,0.8055382981091924,False,0.9592284358296204,False
18,Assault,CL=F,5,cameo→vol,0.4147714755174147,0.8387631757436584,False,0.9592284358296204,False
02,Appeal,CL=F,20,cameo→vol,0.6718610098424647,0.8570861854456506,False,0.9680032212092055,False
07,Provide Aid,CL=F,10,cameo→vol,0.5196846564972054,0.8773749746868067,False,0.9720906413081164,False
12,Reject,ZW=F,5,cameo→vol,0.3545145455108109,0.8795612775018489,False,0.9720906413081164,False
13,Threaten,GC=F,20,cameo→vol,0.6581394893798981,0.8695678989583403,False,0.9720906413081164,False
15,Exhibit Military Posture,CL=F,1,cameo→vol,0.022432827568580897,0.8809571436854805,False,0.9720906413081164,False
02,Appeal,GC=F,10,cameo→vol,0.49259647163513764,0.8958178885817221,False,0.9772558784527876,False
12,Reject,ZW=F,10,cameo→vol,0.49917457773894347,0.891472122037039,False,0.9772558784527876,False
04,Consult,GC=F,10,cameo→vol,0.4677507401724877,0.911417510898876,False,0.9886562830089503,False
04,Consult,GC=F,5,cameo→vol,0.1314404875543037,0.9852149105454798,False,0.9910434500810774,False
05,Support Diplomatically,CL=F,5,cameo→vol,0.25081484868647175,0.9395284609402964,False,0.9910434500810774,False
05,Support Diplomatically,ZW=F,20,cameo→vol,0.5481809420028472,0.9466454454452112,False,0.9910434500810774,False
06,Cooperate Economically/Militarily,ZW=F,20,cameo→vol,0.555443721039769,0.9428150292956221,False,0.9910434500810774,False
07,Provide Aid,CL=F,5,cameo→vol,0.1651779041208744,0.975321640083133,False,0.9910434500810774,False
07,Provide Aid,CL=F,20,cameo→vol,0.5868514379032781,0.9241969164839294,False,0.9910434500810774,False
